Generation 0,Generation 1,Generation 2,Generation 3,Generation 4,Generation 5,Generation 6,Generation 7,Generation 8,Generation 9
24.74,24.78,24.65,24.91,25.04,24.69,24.78,24.78,25.11,24.77
25.06,25.04,25.35,25.43,25.46,25.32,25.24,25.05,25.49,24.94
25.07,24.65,24.82,24.93,25.12,24.84,24.84,24.57,25.07,24.53
25.05,25.36,25.35,25.06,25.5,25.2,25.31,25.34,25.46,25.01
25.04,24.59,24.94,25,25.04,24.91,24.78,24.6,25.22,24.64
25.18,24.96,25.29,25.25,25.42,25.25,25.28,24.97,25.53,24.88
24.15,24.12,24.13,24.27,24.32,24.16,24.18,24.18,24.29,24.12
25.16,24.93,25.33,25.47,25.75,25.41,25.15,24.93,25.85,24.88
24.32,24.3,24.23,24.27,24.42,24.27,24.37,24.28,24.38,24.23
25.17,25.51,25.36,25.41,25.71,25.55,25.56,25.51,25.68,24.88
24.32,24.29,24.3,24.25,24.43,24.36,24.26,24.24,24.43,24.17
25.07,24.91,25.34,25.17,25.79,25.31,25.49,24.89,25.81,24.93
24.09,24.04,24.09,24.07,24.13,24.09,24.11,24.01,24.09,23.99
24.88,24.87,24.96,24.99,24.91,24.84,24.94,24.95,25.02,24.82
24.21,24.15,24.17,24.12,24.18,24.14,24.18,24.21,24.18,24.07
25,24.96,24.93,24.99,24.97,24.94,24.97,24.93,25,24.92
24.14,24.13,24.14,24.14,24.19,24.16,24.19,24.15,24.21,24.07
24.95,24.82,24.96,24.89,24.95,24.9,24.9,24.9,24.96,24.87
24.02,24,24.02,24.02,24.05,24.01,24.02,24,24.06,23.97
24.03,24.05,24.04,24.04,24.07,24.02,24.04,24.01,24.08,23.98
24.07,24.03,24.07,24.05,24.1,24.07,24.07,24.05,24.11,24.03
24.03,24.03,24.07,24.08,24.1,24.05,24.05,24.04,24.1,24
24.06,24.04,24.07,24.07,24.1,24.08,24.07,24.03,24.08,23.98
24.04,24.01,24.05,24.06,24.07,24.04,24.06,24.02,24.1,24
23.99,23.98,24,23.99,24.03,23.99,23.99,23.98,24.01,23.95
24,23.99,24.03,24.01,24.02,24.02,23.99,23.98,24.04,23.96
24.01,23.99,24.02,24.03,24.05,24.01,24.02,23.99,24.04,23.97
24.01,24,24.01,24.03,24.06,24.03,24.01,23.99,24.05,23.97
24.01,24.02,23.99,24.01,24.05,24,24.02,24.02,24.04,23.97
24.02,24,24.01,24.03,24.03,24.03,23.99,23.97,24.02,23.96
23.97,23.97,23.98,23.98,23.99,23.98,23.98,23.97,24,23.95
23.99,23.97,23.99,23.99,24.01,23.99,23.98,23.98,24.01,23.94
23.98,23.98,23.99,23.99,24.02,23.99,23.99,23.98,24.02,23.95
23.99,23.98,24,24,24.02,23.99,23.99,23.99,24.02,23.95
23.98,23.98,23.99,23.99,24.02,23.99,23.99,23.98,24.02,23.96
23.98,23.98,23.99,23.99,24.01,23.99,23.99,23.98,24.01,23.95
-16.138375,-48.004789,20.914046,49.157807,41.797405,20.914046,5.392288,-48.004789,41.797405,0
